PortName,PortLat,PortLong
Port of Baracoa,20.352999999999998,-74.50399999999999
Killybegs Harbor,54.63399999999999,-8.4394
Port of San Jose Buenavista,10.738,121.94
Axmouth Harbour,50.703,-3.0575
Port of Plymouth,16.703,-62.222
Port of Nemrut Bay,38.794000000000004,26.94
Port d'Evian,46.402,6.6017
Port of Cuddalore,11.708,79.778
Port of Ozamiz,8.1383,123.85
Port of Tanga,-5.0656,39.105
Allardyce Harbour,-7.7764,158.65
Port of Port Kamsar,10.645999999999999,-14.62
Port of Garrucha,37.181999999999995,-1.8181
Port of Drobeta Turnu Severin,44.622,22.658
Port of Kempo,-8.6644,118.23
Port of Zhapu,30.586,121.09
Sidi Kerir Terminal,31.053,29.671
Port of Corail,18.567999999999998,-73.891
Port of Tanjung Gerem,-5.9669,106.0
Port of Reposaari,61.61600000000001,21.443
Kobuchihama Harbor,38.326,141.47
Port of Laguna,-28.498,-48.773999999999994
Chatham Harbor,47.036,-65.46600000000001
Port of Tulagi,-9.1014,160.15
Port of Christiansted,17.748,-64.703
Port of Visby,57.636,18.279
Port of St. John's,47.563,-52.698
Port of Lenadura,-53.222,-70.939
Flotta Gibralter Pier,58.841,-3.1247
Port of Chongqing,29.570999999999998,106.56
Port of Ancon,-11.772,-77.18
Port of Borongan,11.607999999999999,125.45
Amakusa Harbor,32.454,130.2
Port of Shiqiao,22.889,113.34
Port of Yichang,30.712,111.28
Port of Bagnoli,40.803000000000004,14.165999999999999
Port of Kaliningrad,54.7,20.459
Beaver Harbour,45.071000000000005,-66.736
Port of Quemchi,-42.148,-73.482
Port of Bing Bong,-15.628,136.39
Pachi Oil Terminal,37.972,23.381
Leahill Quarry Harbor,51.683,-9.62
Da Chan Bay Terminal One,22.544,113.86
Port of Changzhou,31.96,120.01
Port of Mayumba,-3.4244,10.642999999999999
Port of Alcanar,40.552,0.53167
Port of Vanino,49.085,140.27
North Sydney Harbor,46.208999999999996,-60.243
Port of Chake Chake,-5.2378,39.73
Port of Wenzhou,27.998,120.89
St Sampson Harbour,49.481,-2.5142
Port of Murmansk,68.973,33.046
Port of Cristobal Colon,10.661,-61.938
West Burrafirth Harbour,60.295,-1.54
Triabunna Harbor,-42.511,147.92
Port of Lochboisdale,57.152,-7.305
Port of Malindi,-3.2136,40.126999999999995
Port of Bahezhen,30.413,114.9
Port of Jiangyin,31.932,120.22
Port of Koolan Island,-16.147000000000002,123.75
Port of Isabela de Sagua,22.94,-80.012
Port of Ile de Porquerolles,43.001999999999995,6.2
Port of La Paloma,-34.653,-54.144
Port of Cardenas,23.049,-81.196
Porto di Rapallo,44.345,9.2328
Port of Kainan,34.153,135.19
Port of Yaroslavl,57.63399999999999,39.896
Port of Risdon,-42.828,147.31
Port of Yukalpeten,21.276,-89.70100000000001
Puerto de Los Cristianos,28.048000000000002,-16.717
Puerto de Los Cristianos,28.048000000000002,-16.718
Port of Edmonds,47.809,-122.39
Port of Senbong,42.331,130.4
Shimoda Harbor,34.669000000000004,138.96
Port of Camarones,-44.801,-65.709
Port of Chake Chake,-5.2403,39.727
Port of Burtonport,54.982,-8.4417
Port of Grimstad,58.339,8.5956
Port of Husnes,59.873999999999995,5.7644
Puerto Quepos,9.4247,-84.171
Kashiwazaki Harbor,37.367,138.53
Port of Barry,51.398,-3.2614
Whitehaven Harbour,54.55,-3.5933
Port of Samsun,41.3,36.344
Port of Bontang,0.093611,117.48
Port of Salawati,-1.3469,130.98
Gold Beach Harbor,42.422,-124.42
Port of Allinge,55.278999999999996,14.802
Tarumizu Harbor,31.49,130.69
Port of Bahia Blanca,-38.791,-62.273
Port of Cagayan de Oro,8.5064,124.66
Marina Laghi di Sibari ,39.728,16.512999999999998
Port of Lappeenranta,61.065,28.186999999999998
Port of Zhaoqing,23.044,112.46
Port of Mtwara,-10.267999999999999,40.198
Los Puertos de Altagracia,10.708,-71.528
Port of Vado Ligure,44.27,8.4481
Puerto de Ensenada,31.851,-116.63
Port of Gaspe,48.824,-64.439
Port of Bugo,8.5072,124.75
